TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor2_row30475_cand000429,rosetta_sidechain,30174.286674639636,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,16475.82431801729,16475.82431801729,1148.644061537935,-1.0913936421275139e-11
Non-binding_donor2_row30679_cand000097,rosetta_sidechain,5144.280362708385,AB,MP,P,M,MP_AB,M_P,-0.03294633905079536,-0.03294633905079536,46.412617713036425,-0.183877164538103,-0.183877164538103,23.08245253577782,-0.0329463392499747
Non-binding_donor2_row30860_cand000523,rosetta_sidechain,12974.035343167863,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,11057.266240182464,11057.266240182464,939.2006883032043,1.4520452222714084
Non-binding_donor2_row31029_cand000476,rosetta_sidechain,7490.968516220684,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1949.1320461071814,1949.1320461071814,653.669220906647,-3.637978807091713e-12
Non-binding_donor2_row30874_cand000461,rosetta_sidechain,15703.847917753408,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,8875.629414443587,8875.629414443587,1031.042124293532,0.012299761785470764
Non-binding_donor2_row31491_cand000025,rosetta_sidechain,7872.930429349068,AB,MP,P,M,MP_AB,M_P,443.9429171716829,443.9429171716829,726.6653750928484,7107.943879390673,7107.943879390673,562.2732317265231,443.9429171718466
Non-binding_donor2_row31225_cand000335,rosetta_sidechain,2054.763388632771,AB,MP,P,M,MP_AB,M_P,-2.8357218035453116,-2.8357218035453116,173.8511840795662,-26.412788576260596,-26.412788576260596,1741.0966346327707,-2.8357218036385348
Non-binding_donor2_row31511_cand000039,rosetta_sidechain,540.3989155698665,AB,MP,P,M,MP_AB,M_P,-1.7760852642934424,-1.7760852642934424,91.32353862361894,92.89077868431593,92.89077868431593,612.9794214556166,-1.7760852639943323
Non-binding_donor2_row31620_cand000010,rosetta_sidechain,24383.95625000682,AB,MP,P,M,MP_AB,M_P,2.0125932920491323,2.0125932920491323,239.84901011534743,23954.22418165583,23954.22418165583,1556.8347554905308,2.012593292300153
Non-binding_donor2_row31690_cand000141,rosetta_sidechain,17129.050427994975,AB,MP,P,M,MP_AB,M_P,0.023644134435016895,0.023644134435016895,6.483510320214066,12649.185159321623,12649.185159321623,919.5045080681081,0.023644134464120725
Non-binding_donor2_row31802_cand000382,rosetta_sidechain,993.1801160768881,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-9.094947017729282e-13
Non-binding_donor2_row31999_cand000333,rosetta_sidechain,1623.3017128903211,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013710657958654338
Non-binding_donor2_row31714_cand000405,rosetta_sidechain,700.6942497120095,AB,MP,P,M,MP_AB,M_P,-1.0811822034434044,-1.0811822034434044,262.8195055973739,-24.906649891681354,-24.906649891681354,1811.8447737143279,-1.081182203433741
Non-binding_donor2_row31950_cand000374,rosetta_sidechain,2605.2768665551193,AB,MP,P,M,MP_AB,M_P,744.8468720295991,744.8468720295991,387.0481787589192,467.4515657578552,467.4515657578552,429.8099167426338,744.8468720296148
Non-binding_donor2_row31927_cand000413,rosetta_sidechain,50028.816179246205,AB,MP,P,M,MP_AB,M_P,10610.0144476704,10610.0144476704,1531.3372559621832,9488.291946232075,9488.291946232075,1211.5057403473925,10610.014447670743
Non-binding_donor2_row32096_cand000075,rosetta_sidechain,718.695174801074,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-7.958078640513122e-13
Non-binding_donor2_row32134_cand000111,rosetta_sidechain,5181.2047410730465,AB,MP,P,M,MP_AB,M_P,4501.509315138425,4501.509315138425,1050.555681032718,0.0,0.0,0.0,4501.509315138639
Non-binding_donor2_row32538_cand000330,rosetta_sidechain,12916.399431162612,AB,MP,P,M,MP_AB,M_P,1.9886362190154614,1.9886362190154614,197.4176513235069,11229.856751202175,11229.856751202175,1069.614055902984,1.9886362188644853
Non-binding_donor2_row32540_cand000380,rosetta_sidechain,97666.0783195712,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,16336.861514962759,16336.861514962759,734.6802838408759,-0.00020737736485898495
Non-binding_donor2_row32738_cand000325,rosetta_sidechain,854.5373907820372,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,29.6352885442041,29.6352885442041,146.60129641202752,0.0
Non-binding_donor2_row32572_cand000384,rosetta_sidechain,3617.391482093356,AB,MP,P,M,MP_AB,M_P,-44.28174518392598,-44.28174518392598,298.3613672139297,-46.41996335427393,-46.41996335427393,1324.4614559826086,-44.28174518393416
Non-binding_donor2_row32671_cand000052,rosetta_sidechain,3188.9625304954943,AB,MP,P,M,MP_AB,M_P,2536.026791206539,2536.026791206539,1149.0644686911364,-18.50495819346213,-18.50495819346213,1722.7719961800426,2536.0267912063246
Non-binding_donor2_row32915_cand000324,rosetta_sidechain,12092.490203878559,AB,MP,P,M,MP_AB,M_P,0.39813491832319414,0.39813491832319414,210.8934625904576,8442.4950643065,8442.4950643065,709.1220778826345,0.39813491842687654
Non-binding_donor2_row34259_cand000043,rosetta_sidechain,18445.836829033986,AB,MP,P,M,MP_AB,M_P,0.5901257345503836,0.5901257345503836,186.07358520494233,0.0,0.0,0.0,0.5901257344048645
Non-binding_donor2_row33201_cand000321,rosetta_sidechain,1260.9034840256809,AB,MP,P,M,MP_AB,M_P,-2.8251373450762003,-2.8251373450762003,561.7714844731597,-9.193200966316795,-9.193200966316795,1377.4125812798447,-2.8251373454377244
Non-binding_donor2_row34289_cand000477,rosetta_sidechain,18212.310650436048,AB,MP,P,M,MP_AB,M_P,7685.233164736834,7685.233164736834,1093.0272289394677,7229.509605948451,7229.509605948451,961.3991121802995,7685.233164736739
Non-binding_donor2_row34318_cand000534,rosetta_sidechain,741.8900396341892,AB,MP,P,M,MP_AB,M_P,0.0072423138469730475,0.0072423138469730475,10.962157050152797,5.775741051881141,5.775741051881141,1016.8340426856146,0.007242313657570776
Non-binding_donor2_row34410_cand000459,rosetta_sidechain,2380.563327461553,AB,MP,P,M,MP_AB,M_P,4.037505032649278,4.037505032649278,225.00941408492628,-0.25246626624334567,-0.25246626624334567,25.046785702312334,4.037505032463741
Non-binding_donor2_row34736_cand000519,rosetta_sidechain,1005.3086366916494,AB,MP,P,M,MP_AB,M_P,118.13464919857506,118.13464919857506,327.73667805945263,1.7409617720896904,1.7409617720896904,98.92453284326214,118.13464919861065
Non-binding_donor2_row34615_cand000369,rosetta_sidechain,1028.9797619069284,AB,MP,P,M,MP_AB,M_P,278.26255335054657,278.26255335054657,644.4794418333851,-24.41797538388704,-24.41797538388704,1767.5576024503323,278.262553350414
Non-binding_donor2_row34807_cand000073,rosetta_sidechain,3018.5155289748664,AB,MP,P,M,MP_AB,M_P,-1.6549982712845122,-1.6549982712845122,123.6488747840327,617.649584740504,617.649584740504,841.2136144647924,-1.6549982716533123
Non-binding_donor2_row34916_cand000066,rosetta_sidechain,2506.1555188499524,AB,MP,P,M,MP_AB,M_P,1559.82537686129,1559.82537686129,1091.1724326367885,3.455611364823028,3.455611364823028,95.10130766807019,1559.825376861084
Non-binding_donor2_row35545_cand000362,rosetta_sidechain,864.3278477076975,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.15812967478473183
Non-binding_donor2_row34941_cand000357,rosetta_sidechain,4567.423911318404,AB,MP,P,M,MP_AB,M_P,-2.4771409923296233,-2.4771409923296233,411.35882336783465,122.45900988850775,122.45900988850775,504.16946008434206,-2.4771409921531813
Non-binding_donor2_row35870_cand000298,rosetta_sidechain,957.5860215627712,AB,MP,P,M,MP_AB,M_P,-1.5617496273989673e-05,-1.5617496273989673e-05,0.0,106.25709753818103,106.25709753818103,365.5822579333574,-1.5617364283571078e-05
Non-binding_donor2_row35847_cand000506,rosetta_sidechain,1384.6504810404253,AB,MP,P,M,MP_AB,M_P,590.0561230790569,590.0561230790569,898.2734077186192,-18.381965784224974,-18.381965784224974,1731.5867233895988,590.056123078918
Non-binding_donor2_row35999_cand000331,rosetta_sidechain,1948.5208436852201,AB,MP,P,M,MP_AB,M_P,-0.17850629158374431,-0.17850629158374431,38.709890190549146,1397.627363116394,1397.627363116394,472.9519503348295,-0.17850629169470267
Non-binding_donor2_row35938_cand000084,rosetta_sidechain,3890.588195497133,AB,MP,P,M,MP_AB,M_P,654.9953974283931,654.9953974283931,798.0556246847237,-20.355997839970314,-20.355997839970314,1688.7950588269764,654.9953974283671
Non-binding_donor2_row36185_cand000041,rosetta_sidechain,4449.5967057137095,AB,MP,P,M,MP_AB,M_P,156.34928912786108,156.34928912786108,383.831436106248,0.28492557257521867,0.28492557257521867,191.54016586169874,156.34928912768373
Non-binding_donor2_row36233_cand000120,rosetta_sidechain,1747.7851140383275,AB,MP,P,M,MP_AB,M_P,244.6950476333991,244.6950476333991,308.1216905411592,0.0003806743382028799,0.0003806743382028799,0.0,244.69504763318196
