tcr_name,BA_unbound,BC1_unbound,AC1_unbound,BC2_unbound,AC2_unbound,dc_unbound,alpha_cdr3_bend_deg_unbound,alpha_cdr3_apex_height_A_unbound,beta_cdr3_bend_deg_unbound,beta_cdr3_apex_height_A_unbound,BA_bound,BC1_bound,AC1_bound,BC2_bound,AC2_bound,dc_bound,alpha_cdr3_bend_deg_bound,alpha_cdr3_apex_height_A_bound,beta_cdr3_bend_deg_bound,beta_cdr3_apex_height_A_bound,germline_label,germline_collapsed
2pxy,-67.03581242592244,102.56198872797006,-108.57008901526086,-161.73050829518797,152.6637187864941,25.09869118077526,147.62324537846928,16.487286236238788,167.21453629536097,15.333171134396611,-73.15672950393932,103.95178965327409,-108.63657300025798,-160.03124759844383,151.3987230470284,25.386708156824085,139.38140141785686,16.379234939892594,140.35331773248663,17.337360667538757,TRAV6D-7*01-TRAJ48*01|TRBV13-2*01-TRBJ2-3*01,other
2pye,-63.03899457924666,106.81542183233523,-110.4053774059058,-160.90380336434538,146.40579986608265,26.12949928134549,168.69556877552554,17.888697250609518,168.53011195723315,17.245651409366637,-57.63451029722643,107.43617688343164,-108.9968933722684,-158.97541417220228,143.6116136365559,26.991179326289085,-173.62047366795312,17.285827262579225,165.74345098610655,17.11333880181634,TRAV21*01-TRAJ6*01|TRBV6-5*01-TRBJ2-2*01,TRAV21*01-TRAJ6*01|TRBV6-5*01-TRBJ2-2*01
3dxa,-62.66729589109525,107.78265093589471,-104.60945411088002,-157.61004543213858,145.28012229075193,26.639069703754195,138.5559126486387,15.750864279201725,156.5421545620153,16.367232037191776,-73.14265274345087,106.27575147714884,-103.30076332404822,-155.69482567525387,148.1469249920325,27.27666918942833,130.5494518781435,15.426499879870889,178.3022326474146,16.868532801681084,TRAV26-1*02-TRAJ13*02|TRBV7-9*01-TRBJ2-1*01,other
3h9s,-67.68698478517236,102.10763834685929,-109.41525242714144,-161.07254529354617,150.80354517987405,26.03955858450901,149.14116819044148,15.993153660826431,171.2701648504867,19.258702235441728,-62.48696644924061,106.02397964204727,-107.8468046791885,-161.5195209949488,148.49586084415864,26.26084409655553,136.43949002637817,15.32869090801328,161.93825659484207,18.179557179134108,TRAV12-2*01-TRAJ24*02|TRBV6-5*01-TRBJ2-7*01,TRAV12-2*01-TRAJ24*02|TRBV6-5*01-TRBJ2-7*01
3kpr,-71.47239373665467,106.24133106138402,-103.1117916940004,-157.8585920552355,148.54286495160738,26.43777630785787,149.53200332438297,20.562362886819965,157.53333544440943,16.00792409770534,-70.99842695737658,107.39215838065729,-99.26236656972496,-158.18920340822334,147.72546708309278,26.94402239885876,158.50422603738275,16.644488110224778,142.67947151808903,14.430159989253744,TRAV26-2*01-TRAJ52*01|TRBV7-8*01-TRBJ2-7*01,TRAV26-2*01-TRAJ52*01|TRBV7-8*01-TRBJ2-7*01
3kps,-71.47200695728752,106.24131072013722,-103.11213617769069,-157.85891659202974,148.54258746002648,26.437662509616736,149.53758552869016,20.562348551559538,157.5238472387656,16.00748298558452,-72.15878641228264,107.09326178008024,-100.3648073400648,-158.25369770813208,147.90765550771272,26.802539355011604,156.64235265631328,16.804520674193743,143.88805533381304,14.485685000822173,TRAV26-2*01-TRAJ52*01|TRBV7-8*01-TRBJ2-7*01,TRAV26-2*01-TRAJ52*01|TRBV7-8*01-TRBJ2-7*01
3pwp,-67.68727113858642,102.10795175715674,-109.41531983994985,-161.07239630328144,150.80319688350073,26.0395645884222,149.1317519921232,15.992549477087186,171.25063329844522,19.25834913266759,-62.37553210095045,106.46259737484144,-107.41626713920571,-161.02963826333644,147.96464799993993,26.43027972994488,142.41239060148496,15.236302874105078,160.80639386431483,18.153899961464614,TRAV12-2*01-TRAJ24*02|TRBV6-5*01-TRBJ2-7*01,TRAV12-2*01-TRAJ24*02|TRBV6-5*01-TRBJ2-7*01
3qdg,-67.59748013076214,104.48981260038522,-111.1265286722807,-158.49392350021756,149.82028455910057,26.006262548612185,146.14237037343338,13.05538110238463,165.6929225497771,14.284167737654522,-67.04597732010726,105.63942053020929,-112.33400734768202,-157.26799878921665,147.68785350151785,25.75062590460876,154.13145605993367,13.540845694902144,146.8278889389503,14.610453036584394,TRAV12-2*01-TRAJ23*01|TRBV6-4*01-TRBJ1-1*01,TRAV12-2*01-TRAJ23*01|TRBV6-4*01-TRBJ1-1*01
3qdj,-67.59786585193558,104.48936507801068,-111.12677767572784,-158.49455621392724,149.81964644207284,26.006296151288296,146.1489623887673,13.056174675685485,165.68134202659098,14.28498065186289,-67.50024990742828,105.6600697391371,-112.54002661607316,-157.62652578338046,147.63834291756177,25.705005984444785,151.60320094288363,13.613266041355612,147.76904592942077,14.493385242842631,TRAV12-2*01-TRAJ23*01|TRBV6-4*01-TRBJ1-1*01,TRAV12-2*01-TRAJ23*01|TRBV6-4*01-TRBJ1-1*01
3sjv,-70.89079749899327,104.71492819911862,-107.53918148620164,-161.44220994547433,149.93162140421742,26.53203850587541,155.9132297655047,11.749936891875029,152.51049067040276,14.020867534093776,-69.81707172917926,107.39146417048516,-106.5972832218885,-158.9047144753052,146.29362727088164,26.923548083944688,159.847749892141,11.36636923943909,157.35628348865873,14.664745990475256,TRAV12-1*01-TRAJ23*01|TRBV6-2*01-TRBJ2-4*01,other
